Aspirant ID,Preferred Subjects,Target Colleges,Current Preparation Level,Learning Style,Location,Past Mock Test Scores,Time Commitment,Essay/Personal Statement,Subject-wise Strengths and Weaknesses
1,"['General Knowledge', 'Legal Reasoning']","['NLSIU Bangalore', 'GNLU Gandhinagar']",Intermediate,Visual,Delhi,"[78, 61, 126, 122, 125]",28,Looking to improve my Legal Reasoning skills,"{'Logical Reasoning': 'Strong', 'Quantitative Techniques': 'Weak'}"
2,['Quantitative Techniques'],['NALSAR Hyderabad'],Intermediate,Kinesthetic,Kolkata,"[96, 73, 82]",20,Looking to improve my General Knowledge skills,"{'English Comprehension': 'Weak', 'General Knowledge': 'Weak'}"
3,"['General Knowledge', 'English Comprehension']",['NLSIU Bangalore'],Advanced,Visual,Bangalore,"[106, 70, 90, 106]",17,Looking to improve my English Comprehension skills,"{'English Comprehension': 'Weak', 'General Knowledge': 'Strong', 'Quantitative Techniques': 'Weak'}"
4,['English Comprehension'],"['NUJS Kolkata', 'NALSAR Hyderabad']",Beginner,Reading/Writing,Kolkata,"[101, 80, 130, 140, 75, 139]",16,Looking to improve my Legal Reasoning skills,"{'English Comprehension': 'Strong', 'Logical Reasoning': 'Average', 'Quantitative Techniques': 'Weak'}"
5,"['General Knowledge', 'Legal Reasoning', 'Logical Reasoning']","['NLIU Bhopal', 'NALSAR Hyderabad']",Intermediate,Reading/Writing,Delhi,"[60, 60, 92, 126]",26,Looking to improve my Logical Reasoning skills,"{'Logical Reasoning': 'Average', 'Legal Reasoning': 'Weak', 'Quantitative Techniques': 'Weak'}"
6,"['General Knowledge', 'Legal Reasoning', 'General Knowledge']",['NUJS Kolkata'],Advanced,Reading/Writing,Mumbai,"[73, 99, 118, 58, 147]",24,Looking to improve my Legal Reasoning skills,"{'General Knowledge': 'Weak', 'English Comprehension': 'Strong'}"
7,"['English Comprehension', 'Quantitative Techniques']",['NUJS Kolkata'],Beginner,Auditory,Chennai,"[98, 122, 73, 72]",29,Looking to improve my Logical Reasoning skills,"{'Legal Reasoning': 'Weak', 'Quantitative Techniques': 'Strong'}"
8,['English Comprehension'],['NUJS Kolkata'],Beginner,Kinesthetic,Mumbai,"[97, 118, 103, 94, 128]",17,Looking to improve my Quantitative Techniques skills,"{'Legal Reasoning': 'Strong', 'General Knowledge': 'Average', 'Logical Reasoning': 'Strong'}"
9,"['General Knowledge', 'English Comprehension', 'Quantitative Techniques']",['NLSIU Bangalore'],Advanced,Auditory,Chennai,"[123, 98, 144, 93]",11,Looking to improve my Legal Reasoning skills,"{'English Comprehension': 'Strong', 'General Knowledge': 'Weak', 'Quantitative Techniques': 'Weak'}"
10,"['Logical Reasoning', 'Quantitative Techniques']","['NALSAR Hyderabad', 'NLSIU Bangalore']",Advanced,Kinesthetic,Delhi,"[150, 62, 52]",30,Looking to improve my Logical Reasoning skills,"{'General Knowledge': 'Strong', 'English Comprehension': 'Weak'}"
11,"['English Comprehension', 'English Comprehension', 'English Comprehension']","['NALSAR Hyderabad', 'NALSAR Hyderabad']",Beginner,Kinesthetic,Bangalore,"[125, 132, 120, 112]",29,Looking to improve my Quantitative Techniques skills,"{'Quantitative Techniques': 'Weak', 'General Knowledge': 'Average', 'Logical Reasoning': 'Strong'}"
12,"['Logical Reasoning', 'Legal Reasoning']","['NLSIU Bangalore', 'NLSIU Bangalore']",Beginner,Reading/Writing,Delhi,"[117, 81, 116, 78, 63, 132]",29,Looking to improve my Logical Reasoning skills,"{'English Comprehension': 'Strong', 'Legal Reasoning': 'Weak'}"
13,"['Quantitative Techniques', 'Legal Reasoning', 'General Knowledge']","['GNLU Gandhinagar', 'NALSAR Hyderabad']",Intermediate,Reading/Writing,Delhi,"[143, 51, 70, 52, 105]",30,Looking to improve my Legal Reasoning skills,"{'English Comprehension': 'Weak', 'Quantitative Techniques': 'Strong'}"
14,"['Legal Reasoning', 'Quantitative Techniques']",['NUJS Kolkata'],Beginner,Auditory,Delhi,"[68, 72, 131, 89, 134, 79]",14,Looking to improve my Quantitative Techniques skills,"{'Logical Reasoning': 'Average', 'Legal Reasoning': 'Average'}"
15,"['Logical Reasoning', 'General Knowledge', 'Quantitative Techniques']",['NALSAR Hyderabad'],Advanced,Visual,Kolkata,"[84, 147, 135, 53, 103, 88]",26,Looking to improve my Quantitative Techniques skills,"{'Logical Reasoning': 'Weak', 'Quantitative Techniques': 'Strong', 'Legal Reasoning': 'Average'}"
16,"['Quantitative Techniques', 'General Knowledge']","['NLIU Bhopal', 'NLSIU Bangalore']",Advanced,Kinesthetic,Delhi,"[98, 93, 104]",19,Looking to improve my General Knowledge skills,"{'Quantitative Techniques': 'Weak', 'English Comprehension': 'Strong', 'Logical Reasoning': 'Weak', 'General Knowledge': 'Weak'}"
17,"['Logical Reasoning', 'General Knowledge']",['NLSIU Bangalore'],Intermediate,Visual,Chennai,"[116, 112, 57]",21,Looking to improve my Legal Reasoning skills,"{'English Comprehension': 'Average', 'Legal Reasoning': 'Strong'}"
